'000912'|'000912.SZ'|'S'|'20171215'|'20190415'|'20190412'|'出现其它异常状况，实施特别处理'|'{6AB8351D-DFFD-11E7-8431-6C0B843DAAC4}'|'2019-04-11 20:31:28'
'600871'|'600871.SH'|'S'|'20180329'|'20190402'|'20190401'|'最近两年连续亏损'|'{A872DF6B-31C6-11E8-A44A-6C0B84A68AC9}'|'2019-03-31 20:31:27'
'000655'|'000655.SZ'|'S'|'20180413'|'20190409'|'20190408'|'最近两个会计年度的审计结果显示的净利润均为负值'|'{84F4CD15-3D7E-11E8-B865-448A5B7647D3}'|'2019-04-07 20:30:59'
'600397'|'600397.SH'|'S'|'20180419'|'20190422'|'20190419'|'最近两个会计年度的审计结果显示的净利润均为负值'|'{624936A5-4236-11E8-A97C-6C0B843DAAC4}'|'2019-04-19 06:31:30'
'600150'|'600150.SH'|'S'|'20180424'|'20190329'|'20190328'|'最近两个会计年度的审计结果显示的净利润均为负值'|'{99B7F139-4606-11E8-8EB6-C03FD53EC644}'|'2019-03-28 06:30:45'
'600202'|'600202.SH'|'S'|'20180425'|'20190402'|'20190401'|'最近两个会计年度的审计结果显示的净利润均为负值'|'{714E64BB-46E3-11E8-A4CD-6C0B843DAAC4}'|'2019-03-31 20:31:27'
'000720'|'000720.SZ'|'S'|'20180423'|'20190426'|'20190425'|'最近两个会计年度的审计结果显示的净利润均为负值'|'{B7C371B6-4796-11E8-AF97-6C0B84AC4C3E}'|'2019-04-24 20:31:39'
'600778'|'600778.SH'|'S'|'20180426'|'20190507'|'20190501'|'最近两个会计年度的审计结果显示的净利润均为负值'|'{24D1C629-47B7-11E8-AD8A-6C0B843DAAC4}'|'2019-04-30 20:32:52'
'600198'|'600198.SH'|'S'|'20180427'|'20190424'|'20190423'|'最近两个会计年度的审计结果显示的净利润均为负值'|'{29D0E24B-488E-11E8-B913-6C0B843DAAC4}'|'2019-04-23 06:30:47'
'002570'|'002570.SZ'|'S'|'20180427'|'20190418'|'20190417'|'最近两个会计年度的审计结果显示的净利润均为负值'|'{D61A6896-489E-11E8-8F05-6C0B84A68AC9}'|'2019-04-17 06:31:35'
'002070'|'002070.SZ'|'Z'|'20180515'|'20190527'|'20190518'|'最近两年连续亏损，且被会计师事务所出具无法表示意见或否定的审计意见'|'{444F34C0-544A-11E8-B699-448A5B7647D3}'|'2019-05-18 06:32:19'
'600749'|'600749.SH'|'S'|'20180502'|'20190410'|'20190409'|'最近两个会计年度的审计结果显示的净利润均为负值'|'{9E9DAB5C-4948-11E8-A18E-6C0B843DAAC4}'|'2019-04-08 20:31:33'
